Frequency_Hz,Unshielded_dBuV,Case_A_dBuV,Case_B_dBuV,Case_C_dBuV
10000,98.00,93.00,90.00,87.00
20000,94.99,89.39,86.24,83.45
50000,92.11,85.71,82.36,79.85
100000,106.00,99.00,95.50,93.20
200000,86.09,78.49,74.84,72.75
500000,82.86,74.46,70.61,68.80
1000000,90.00,81.00,77.00,75.40
2000000,76.84,67.24,63.09,61.70
5000000,72.89,62.49,58.14,57.03
10000000,76.00,65.00,60.50,59.60
15000000,71.11,59.76,55.17,54.39
20000000,66.87,55.26,50.61,49.92
25000000,64.66,52.86,48.16,47.54
30000000,63.44,51.48,46.75,46.18
