Time_s,Case_A_V,Case_B_V,Case_C_V,Case_D_V
0.0000,48.000,48.299,48.355,48.304
0.0010,48.927,48.895,48.692,48.484
0.0020,49.763,49.404,48.961,48.617
0.0030,50.427,49.776,49.136,48.689
0.0040,50.853,49.973,49.200,48.694
0.0050,51.000,49.978,49.146,48.630
0.0060,50.853,49.788,48.981,48.505
0.0070,50.427,49.424,48.719,48.331
0.0080,49.763,48.921,48.387,48.124
0.0090,48.927,48.327,48.017,47.905
0.0100,48.000,47.701,47.645,47.696
0.0110,47.073,47.105,47.308,47.516
0.0120,46.237,46.596,47.039,47.383
0.0130,45.573,46.224,46.864,47.311
0.0140,45.147,46.027,46.800,47.306
0.0150,45.000,46.022,46.854,47.370
0.0160,45.147,46.212,47.019,47.495
0.0170,45.573,46.576,47.281,47.669
0.0180,46.237,47.079,47.613,47.876
0.0190,47.073,47.673,47.983,48.095
0.0200,48.000,48.299,48.355,48.304
