Time_s,Voltage_V,Current_A,Power_W
0.0000,48.000,2.200,105.600
0.0010,48.618,2.375,115.480
0.0020,49.176,2.563,126.023
0.0030,49.618,2.744,136.154
0.0040,49.902,2.901,144.790
0.0050,50.000,3.020,150.981
0.0060,49.902,3.087,154.042
0.0070,49.618,3.097,153.653
0.0080,49.176,3.048,149.893
0.0090,48.618,2.946,143.223
0.0100,48.000,2.800,134.400
0.0110,47.382,2.625,124.366
0.0120,46.824,2.437,114.124
0.0130,46.382,2.256,104.636
0.0140,46.098,2.099,96.737
0.0150,46.000,1.980,91.098
0.0160,46.098,1.913,88.190
0.0170,46.382,1.903,88.278
0.0180,46.824,1.952,91.395
0.0190,47.382,2.054,97.328
0.0200,48.000,2.200,105.600
